"REF_DATE","GEO","DGUID","Owner-occupied property type","Owner characteristics at the property level","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all family categories","Number of properties","Number","223","units","0","v1110079026","3.1.1.1","76020","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all family categories","Percentage - Owner characteristics","Percent","239","units","0","v1110079027","3.1.1.2","100.0","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all family categories","Median assessment value of the owner-occupied property","Dollars","81","units","0","v1110079029","3.1.1.4","238000","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all family categories","Median total income of family","Dollars","81","units","0","v1110079031","3.1.1.6","97600","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all family categories","Median ratio of assessment value to total income","Ratio","270","units","0","v1110079033","3.1.1.8","2.4","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Couple  family","Number of properties","Number","223","units","0","v1110079034","3.1.2.1","54560","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Couple  family","Percentage - Owner characteristics","Percent","239","units","0","v1110079035","3.1.2.2","71.8","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Couple  family","Median assessment value of the owner-occupied property","Dollars","81","units","0","v1110079037","3.1.2.4","253000","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Couple  family","Median total income of family","Dollars","81","units","0","v1110079039","3.1.2.6","115000","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Couple  family","Median ratio of assessment value to total income","Ratio","270","units","0","v1110079041","3.1.2.8","2.2","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Lone-parent family","Number of properties","Number","223","units","0","v1110079042","3.1.3.1","5300","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Lone-parent family","Percentage - Owner characteristics","Percent","239","units","0","v1110079043","3.1.3.2","7.0","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Lone-parent family","Median assessment value of the owner-occupied property","Dollars","81","units","0","v1110079045","3.1.3.4","213000","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Lone-parent family","Median total income of family","Dollars","81","units","0","v1110079047","3.1.3.6","74400","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Lone-parent family","Median ratio of assessment value to total income","Ratio","270","units","0","v1110079049","3.1.3.8","2.8","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Other census family","Number of properties","Number","223","units","0","v1110079050","3.1.4.1","16160","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Other census family","Percentage - Owner characteristics","Percent","239","units","0","v1110079051","3.1.4.2","21.3","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Other census family","Median assessment value of the owner-occupied property","Dollars","81","units","0","v1110079053","3.1.4.4","205000","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Other census family","Median total income of family","Dollars","81","units","0","v1110079055","3.1.4.6","53400","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Other census family","Median ratio of assessment value to total income","Ratio","270","units","0","v1110079057","3.1.4.8","3.6","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all pension income categories","Number of properties","Number","223","units","0","v1110079058","3.1.5.1","76040","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all pension income categories","Percentage - Owner characteristics","Percent","239","units","0","v1110079059","3.1.5.2","100.0","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all pension income categories","Median assessment value of the owner-occupied property","Dollars","81","units","0","v1110079061","3.1.5.4","238000","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all pension income categories","Median total income of family","Dollars","81","units","0","v1110079063","3.1.5.6","97600","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","Total, all pension income categories","Median ratio of assessment value to total income","Ratio","270","units","0","v1110079065","3.1.5.8","2.4","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","One or more of the owners receives pension income","Number of properties","Number","223","units","0","v1110079066","3.1.6.1","31840","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","One or more of the owners receives pension income","Percentage - Owner characteristics","Percent","239","units","0","v1110079067","3.1.6.2","41.9","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","One or more of the owners receives pension income","Median assessment value of the owner-occupied property","Dollars","81","units","0","v1110079069","3.1.6.4","223000","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","One or more of the owners receives pension income","Median total income of family","Dollars","81","units","0","v1110079071","3.1.6.6","76500","","","","0"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","One or more of the owners receives pension income","Median ratio of assessment value to total income","Ratio","270","units","0","v1110079073","3.1.6.8","2.9","","","","1"
"2018","Halifax","2016A00051209034","Total, all owner-occupied property types","None of the owners receive pension income","Number of properties","Number","223","units","0","v1110079074","3.1.7.1","44200","","","","0"
